Name,Position,College,RAS
Kyle Shurmur,QB,Vanderbilt,4.24
Dustin Vaughan,QB,West Texas A&M,4.54
Kenneth Coleman,QB,Florida A&M,4.23
KD Humphries,QB,Murray State,3.97
Darell Garretson,QB,Oregon State,4.13
Chad Voytik,QB,Arkansas State,3.99
Chris Greisen,QB,Northwest Missouri State,6.99
Jameis Winston,QB,Florida State,4.25
Kent Graham,QB,Ohio State,6.17
Jason Garrett,QB,Princeton,6.25
Darrell Hackney,QB,Alabama Birmingham,5.17
Jarrett Guarantano,QB,Washington State,4.09
Anthony Dilweg,QB,Duke,7.25
Stephen Garcia,QB,South Carolina,4.38
T.J. Yates,QB,North Carolina,4.48
Cody Kessler,QB,Southern California,4.09
Nathan Rourke,QB,Ohio,4.04
Chris Chandler,QB,Washington,6.8
Nick Foles,QB,Arizona,4.35
Drew Willy,QB,Buffalo,4.78
Thad Busby,QB,Florida State,6.94
Mason Rudolph,QB,Oklahoma State,4.06
Brock Berlin,QB,Miami,5.32
Kyle Kempt,QB,Iowa State,3.94
Andy Dalton,QB,Texas Christian,4.38
Tanner Mangum,QB,Brigham Young,3.88
Juwan Carter,QB,Norfolk State,3.91
Brandon Harris,QB,North Carolina,3.87
Ryan Johnson,QB,Illinois,3.89
Matthew Alviti,QB,Northwestern,3.89
Matthew McKay,QB,Elon,3.86
Curtis Painter,QB,Purdue,4.66
Hunter Raquet,QB,Colorado State Pueblo,3.84
Billy Greene,QB,British Columbia,3.98
Anthony Russo,QB,Michigan State,3.88
Marc Bulger,QB,West Virginia,6.27
Mike Pawlawski,QB,California,7.13
Brodie Croyle,QB,Alabama,5
James Morgan,QB,Florida International,3.85
Chase Litton,QB,Marshall,3.9
Ryan Higgins,QB,Louisiana Tech,3.72
Alek Torgersen,QB,Pennsylvania,3.78
Drew Plitt,QB,Ball State,3.77
Tyler Wilson,QB,Arkansas,3.95
Nic Shimonek,QB,Texas Tech,3.74
Tyler Bray,QB,Tennessee,3.9
Frank Baur,QB,Lafayette,6.84
Alex Tanney,QB,Monmouth,3.84
Carlton Aiken,QB,Pace,3.67
Rodney Peete,QB,Southern California,6
Kirk Cousins,QB,Michigan State,4.07
Brian Hoyer,QB,Michigan State,4.36
Rusty Smith,QB,Florida Atlantic,4.14
Dan Gonzalez,QB,East Carolina,7.34
Tanner Morgan,QB,Minnesota,3.6
Andrew Buckley,QB,Calgary,3.63
Keith Wenning,QB,Ball State,3.53
Patrick O'Brien,QB,Washington,3.65
T.J. Linta,QB,Wagner,3.61
Chase Daniel,QB,Missouri,4.44
Aaron Sparrow,QB,Norfolk State,6.33
Terry Dean,QB,Florida,5.97
Thad Lewis,QB,Duke,4.51
Matt Barkley,QB,Southern California,3.67
Holton Ahlers,QB,East Carolina,3.49
Wally Richardson,QB,Penn State,6.83
Mitch Kimble,QB,Eastern Illinois,3.37
Tim Rattay,QB,Louisiana Tech,5.66
Antwan Chiles,QB,Liberty,5.65
Scott Zolak,QB,Maryland,6.76
Brian St. Pierre,QB,Boston College,5.58
Matt McGloin,QB,Penn State,3.47
Keith Price,QB,Washington,3.41
Anthony Lawrence,QB,San Diego,3.35
Devlin Hodges,QB,Samford,3.4
Dwayne Haskins,QB,Ohio State,3.47
Donald Hollas,QB,Rice,7.84
